PRD_ID,AIR_TMP,PRC_TMP,ROT_SPD,TRQ_PWR,TOOL_TM,NS_LVL
L91853,297.6,308.9,1449,47.7,209,111.0918
L91854,310.9,309,,41.2,,
M59535,297.8,309.1,1424,45.5,2,
H74090,313.2,309.2,1577,,5,
L91857,297.9,309.2,1478,39.7,10,
M59538,312.4,309.2,1295,,12,
L91859,307.6,309.2,,,15,
M59540,306.3,,1432,42.6,,
M59541,307.7,309,,,20,
H74096,308.2,309,,,23,
L91863,304.9,,1874,24.4,,
L91864,313.3,309,1538,,,
M59545,297.7,309,1636,29.7,32,
M59546,297.7,309,1504,40.4,35,97.3848
M59547,297.7,309,1531,42.4,38,110.0633
H74102,297.6,309,1735,26.4,41,98.3009
H74103,306.7,,1354,,46,
H74104,297.6,309,1413,40.2,51,
L91871,307,,1563,,56,
L91872,297.7,309.1,1479,42.1,58,
L91873,297.7,309.1,1477,38.3,60,
L91874,297.6,309.1,1394,50,62,
L91875,297.6,309,1487,45.4,64,85.7133
M59556,307.2,309,1815,,66,
M59557,306.5,308.8,1453,,69,80.6996
L91878,306.1,,1539,40.2,,
H74113,297.5,308.7,1416,39.2,74,
M59560,297.6,308.8,1683,31.6,79,100.3057
L91881,309.7,,1515,,82,
M59562,297.7,308.9,1531,48.3,84,
H74117,306,,1479,40.9,,
L91884,305.7,308.9,,,92,
L91885,305.2,309,1507,,94,
M59566,306.9,,1434,43.3,,
L91887,308.1,308.9,,27.3,,
M59568,311,308.8,,45.9,,
M59569,313.5,308.8,,,104,
M59570,308,308.7,1697,,107,96.524
L91891,309.7,308.7,,46.2,,
L91892,305.6,308.7,,37.6,,
L91893,308.2,,1439,,114,
L91894,312.6,308.6,,,116,
L91895,313.6,308.6,1324,,118,98.9783
H74130,311,308.6,1420,,120,
L91897,297.4,308.7,1545,36.9,125,
L91898,308.7,308.8,1477,,127,
L91899,297.4,308.8,1447,58.1,129,88.3961
L91900,297.4,308.9,1809,23.8,131,
L91901,297.5,308.9,1696,30.9,133,117.1381
L91902,313.8,,1427,,135,
M59583,306.1,308.9,1500,,137,
L91904,309.4,308.9,1390,,,
L91905,297.4,308.8,1640,34.2,142,128.2855
M59586,297.4,308.8,1628,37.4,144,124.5314
H74141,306.1,,1499,,147,
M59588,297.4,308.7,1425,50.3,152,
L91909,306.9,,1586,37.7,,
M59590,306.4,308.6,1471,,157,107.662
M59591,297.3,308.6,1431,53,160,87.6134
L91912,310.5,,1924,,163,
M59593,306.4,308.4,1421,,,
H74148,297,308.4,1305,54.6,168,117.5439
L91915,296.9,308.4,1557,32.4,173,
L91916,307.7,,1555,38.2,,
H74151,296.9,308.3,1474,39.2,177,109.5857
L91918,296.8,308.3,1506,45.9,182,
L91919,296.9,308.4,1390,41.8,184,
M59600,306.7,308.4,1450,,,
L91921,296.9,308.3,1513,38.8,189,
L91922,304.9,,1643,34.7,,
L91923,296.8,308.2,1361,53.8,193,103.961
L91924,312.7,308.1,1450,,195,116.4114
L91925,296.7,308,1451,50.7,197,109.6367
L91926,305.2,308.1,,62,,
L91927,296.8,308.1,1356,48.3,201,
H74162,306,,1528,,203,
L91929,296.6,308,1978,22.3,208,
L91930,296.7,308,1535,36.8,210,
M59611,311.5,308.1,,,212,
L91932,296.9,308.1,1422,48.7,215,
L91933,312.1,308,1536,,217,120.6863
M59614,296.9,308.1,1483,44.3,219,
H74169,296.8,308.1,1492,43.7,222,
L91936,296.8,308,1584,40.4,227,
L91937,296.9,308.1,1555,33.7,229,108.3701
L91938,309.8,308,,,231,
M59619,296.7,307.8,1537,36.3,233,
L91940,296.7,307.8,1505,39.4,236,120.6806
L91941,313,307.8,1646,,238,
M59622,296.7,307.8,1286,60.5,0,
L91943,296.7,307.8,1400,47.5,3,
L91944,296.8,307.9,1337,56.5,5,
L91945,296.9,308,1332,53.9,7,91.685
L91946,307.3,308,,38.3,,
L91947,307.8,,1546,31.1,,
L91948,296.9,308,1713,29.3,13,
L91949,311.3,,1343,,15,
L91950,296.8,308,1391,54.4,17,99.0838
H74185,296.8,308,1311,58.6,19,86.5076
H74186,296.8,308,1453,51,24,77.1938
L91953,296.8,308,1510,39.4,29,
L91954,313.6,307.9,1448,,,
L91955,306.5,,1453,46,,
L91956,304.1,307.8,,39.2,,
L91957,311.3,,1382,47.5,,
L91958,305.1,308,1580,,39,103.6481
L91959,296.8,308,1666,29.8,41,
M59640,296.9,308,1409,50.7,43,94.3559
L91961,296.8,308,1675,29.7,46,115.3244
L91962,296.8,307.9,1698,30.8,48,
H74197,312.2,307.9,1579,,50,103.4744
L91964,296.7,307.9,1743,27.9,55,
M59645,296.9,308,1497,44.8,57,108.8009
L91966,305,308.1,,,60,
L91967,296.9,308.1,1435,45.3,62,
M59648,305.2,,1440,46.3,,
M59649,296.9,308,1641,33.3,67,
L91970,296.8,307.9,1420,45.4,70,90.3029
L91971,313.2,307.9,,35.4,,
L91972,296.8,307.8,1373,42.9,74,
M59653,296.8,307.9,1683,31.8,76,95.6969
H74208,313.1,307.9,1547,,79,88.6546
L91975,313.6,307.8,1605,,,
M59656,307.5,307.9,,18.9,,
L91977,296.8,307.7,1565,40.1,89,96.4104
M59658,313.5,,1828,24.6,,
M59659,297,307.8,1579,34.1,94,
M59660,312.7,307.9,1882,,97,108.7532
L91981,307.3,,1285,,100,
L91982,309.1,,1571,,102,
H74217,296.9,307.8,1549,37.8,104,
M59664,296.9,307.8,1544,37.6,109,103.6516
M59665,311.7,307.9,,,112,
M59666,306.3,,1422,53,,
L91987,297,307.7,1867,22.8,118,127.587
L91988,311.8,307.7,,43.3,,
L91989,309.3,307.6,,,122,
L91990,296.9,307.7,1550,39.7,124,
L91991,296.8,307.6,1588,37.6,126,129.678
L91992,296.8,307.6,1338,44.4,128,110.0488
L91993,296.8,307.6,1513,40,130,106.8382
M59674,312.3,307.5,1470,,132,96.9253
M59675,305.8,307.5,1516,,,
L91996,309,,1434,,138,
L91997,306,307.6,1368,,,
L91998,296.8,307.6,1304,48.7,142,96.8927
L91999,305,307.6,,,144,
L92000,296.7,307.6,1516,37.4,146,127.8124
L92001,310.1,307.6,,41.7,,
M59682,296.7,307.6,1547,34.7,150,
M59683,309.3,307.5,1482,,,
L92004,296.6,307.4,1436,42.8,156,
L92005,311.7,307.3,,,158,
L92006,296.5,307.2,1481,38.2,160,
L92007,309.9,307.3,1501,,,
L92008,313.3,307.3,1566,,,
L92009,296.5,307.3,1579,34.5,166,
L92010,296.6,307.4,1631,35,168,
M59691,311,,1544,,170,
L92012,296.6,307.4,1521,38.6,173,118.8044
L92013,308.7,,1616,,175,
H74248,313.4,,1333,50.2,,
M59695,296.7,307.4,1533,32.5,182,132.3153
L92016,296.6,307.4,1368,45.1,185,93.6725
L92017,310,307.4,,,187,
H74252,296.6,307.4,1406,41.5,189,124.5122
M59699,296.5,307.4,1565,43.5,194,113.1772
L92020,313,307.5,1582,,197,
L92021,310,307.5,1439,,199,89.6802
M59702,296.6,307.5,1566,35,201,136.0985
L92023,306.1,,1485,42.7,,
L92024,306.7,307.5,1566,,,
L92025,296.3,307.3,1439,41.5,208,118.6277
M59706,296.4,307.4,1416,50,210,86.9394
L92027,296.4,307.4,2833,5.6,213,
L92028,296.3,307.4,1465,47.1,215,122.3316
H74263,296.4,307.4,1586,35.5,0,101.0817
L92030,296.3,307.3,1567,31.4,5,107.9662
M59711,296.2,307.2,1389,48.6,7,75.6225
M59712,309,307.3,,49.5,,
L92033,307.1,307.3,1444,,,
M59714,313.9,,1498,,15,
L92035,309.9,307.2,,,18,
L92036,306.5,,1898,,20,
M59717,296.1,307.1,1350,53.3,22,100.6946
M59718,305.9,307,1516,,,
H74273,313.9,,1542,40.6,,
H74274,306.3,306.9,1541,,33,
M59721,296.1,306.9,1951,23.3,38,
H74276,296.1,306.8,1645,31,41,105.3117
L92043,311.2,,1416,,46,
M59724,305,306.7,,,48,
L92045,312.3,306.6,1414,,51,
L92046,295.9,306.6,1678,26.7,53,
H74281,307.1,306.5,1594,,55,109.3625
M59728,295.8,306.5,1514,37.7,60,96.7682
L92049,295.8,306.5,1358,49.2,63,97.6411
L92050,295.8,306.4,1325,56.2,65,
L92051,308.4,,1339,53.2,,
M59732,295.8,306.4,1335,51.7,69,
L92053,308.3,306.4,,21.7,,
L92054,309.9,306.4,1575,,,
M59735,295.8,306.3,1444,45.5,76,
L92056,295.7,306.3,1915,22.4,79,
M59737,295.6,306.2,1584,33.6,81,94.7051
M59738,295.7,306.3,1685,34.9,84,
L92059,295.8,306.3,1337,54.6,87,89.3886
M59740,310.2,306.3,,,89,
L92061,307.3,306.2,,46.2,,
M59742,313.8,,1739,,94,
L92063,295.7,306.3,1490,34.3,97,
L92064,295.8,306.4,1356,48,99,110.0832
L92065,295.7,306.2,1397,52,101,
L92066,313.7,306.2,,40.6,,
H74301,308.6,306.2,,,105,
M59748,295.6,306.1,1651,28.1,110,
L92069,309.4,,1389,46.2,,
L92070,313.4,306,,52.4,,
L92071,295.7,306.1,1408,47.9,117,106.0548
L92072,307.3,,1343,,119,
M59753,304.3,,1423,,121,
L92074,311,306.2,,48.6,,
M59755,307.2,,1435,,126,
L92076,295.5,306.1,1573,35.1,129,121.7337
L92077,295.6,306.2,1612,31.2,131,101.0707
L92078,308.5,306.2,1446,,,
H74313,312.5,306.2,,55.3,,
L92080,307.5,306.2,,35.1,,
H74315,304.2,306.1,1256,,142,
L92082,295.6,306.1,1383,48.7,147,
L92083,307.9,,2270,,149,
H74318,311.5,,1458,49.8,,
L92085,295.6,306.1,1474,41.2,156,
M59766,295.6,306.1,1462,49.2,158,108.7633
M59767,295.6,306.1,1669,29,161,116.5379
M59768,310.3,306.1,,24.3,,
L92089,295.5,306,1456,39.2,167,121.5578
L92090,295.5,306,1546,35.9,169,
M59771,295.6,306.1,1490,42.7,171,
L92092,304.7,306,1569,,,
L92093,295.5,306,1621,29.5,176,
M59774,308.5,305.9,,,178,
M59775,295.4,305.8,1526,38.2,181,
M59776,305.4,,1589,36.2,,
L92097,311.4,305.7,,,187,
M59778,295.3,305.7,1473,38.5,189,115.7784
L92099,295.4,305.8,1407,50.7,192,122.2472
M59780,295.5,305.9,1518,44.1,194,101.3815
H74335,307.8,,1593,,197,
M59782,304.4,305.9,,52.4,,
M59783,308.6,306,1423,,,
L92104,310.7,306,,,208,
H74339,295.6,306.1,1623,30.9,210,115.8337
L92106,295.6,306.1,1372,55.6,215,107.3488
H74341,295.6,306,1396,52.4,0,
L92108,295.6,306,1949,21.9,5,93.5321
L92109,310.7,,1419,,7,
M59790,310.6,305.9,,,9,
L92111,295.5,305.9,1542,36.2,12,110.3091
L92112,295.6,306,1363,50,14,91.4514
L92113,307.6,306,1597,,,
M59794,295.5,306,1326,50.8,18,
M59795,309.4,306,1641,,,
M59796,309.4,306.1,1418,,,
L92117,295.6,306.2,1263,61.8,27,96.6528
L92118,295.6,306.2,1823,25.8,29,120.8226
L92119,309.7,306.1,,,31,
L92120,313.7,306.2,,,33,
L92121,295.6,306.2,1650,28.2,35,110.181
M59802,310.5,306.3,,44.3,,
M59803,295.6,306.2,1477,45,40,103.1224
M59804,305.5,306.3,1712,,43,99.1502
M59805,295.7,306.3,1347,50.4,46,94.8515
L92126,312.4,,1287,,49,
L92127,295.6,306.2,1428,44.5,51,105.2272
M59808,295.6,306.3,1426,45.5,53,94.9556
L92129,308.5,306.3,,,56,
L92130,295.6,306.2,1424,42.5,58,
H74365,312.6,306.3,1509,,,
L92132,312,306.2,,,65,
L92133,295.5,306.1,1650,32.8,67,115.8404
H74368,310.6,306.2,1414,,,
L92135,307.9,306.3,,20.9,,
H74370,313,306.2,1632,,,
M59817,295.7,306.4,1387,40.1,81,
L92138,295.8,306.4,1399,47.6,84,
L92139,295.8,306.5,1505,35.2,86,
L92140,295.8,306.5,1534,37.9,88,
L92141,309.9,306.5,1493,,90,109.0381
M59822,308.1,,1480,43.2,,
L92143,311.6,,1621,,95,
L92144,305.9,306.5,,26.2,,
L92145,295.8,306.6,1508,46.5,99,92.5169
M59826,308.4,,1641,32.2,,
M59827,313,306.6,,38.6,,
L92148,308.8,,1547,,107,
L92149,295.9,306.6,1412,41,109,112.2198
L92150,295.8,306.5,1568,35.1,111,
L92151,308.9,,1557,,113,
L92152,304.1,,1644,35.2,,
L92153,295.9,306.6,1679,30.4,117,109.0753
L92154,307.1,306.6,1511,,119,
M59835,296,306.6,1628,36.8,121,
M59836,296,306.6,1392,51.3,124,103.0508
L92157,296,306.7,1917,21,127,
M59838,308.5,,1526,,129,
L92159,310.4,306.8,,53.3,,
L92160,306.9,306.7,1409,,,
L92161,296.2,306.8,1655,31.1,136,120.1549
L92162,296.2,306.9,1516,39.1,138,
L92163,304.8,306.9,,,140,
L92164,296.3,307.1,1419,48.6,142,96.7471
L92165,296.4,307.2,1748,25.3,144,100.9682
H74400,308.6,307.1,1638,,146,
M59847,296.3,307.1,1534,33.8,151,96.2385
H74402,305.9,,1774,25.9,,
M59849,296.2,307,2119,18.3,159,155.2694
L92170,306.5,307,1414,,162,99.9681
M59851,296.1,307,1523,42,164,116.4851
L92172,311.5,307.1,1651,,,
M59853,296.1,307.1,1485,36,169,
M59854,306.3,,1168,63.4,,
L92175,296.3,307.3,1566,35.8,175,
M59856,308.5,307.2,1286,,,
M59857,296.3,307.2,1446,45.9,180,102.7078
M59858,306.4,307.2,,,183,
L92179,296.3,307.1,1560,33.2,186,
